client,desc,combined,market
Digital Realty Trust,AZ DC - Energy Assessments,Digital Realty Trust AZ DC - Energy Assessments,Datacom / Mission Critical / Tech
Digital Realty Trust,BOS13 Energy Model Update,Digital Realty Trust BOS13 Energy Model Update,Datacom / Mission Critical / Tech
Digital Realty Trust,Cermak Data Center Energy Assessment,Digital Realty Trust Cermak Data Center Energy Assessment,Datacom / Mission Critical / Tech
Digital Realty Trust,"Chandler, AZ - DC Energy Audit","Digital Realty Trust Chandler, AZ - DC Energy Audit",Datacom / Mission Critical / Tech
Digital Realty Trust,"Chicago, IL - DC Energy Audit","Digital Realty Trust Chicago, IL - DC Energy Audit",Datacom / Mission Critical / Tech
Digital Realty Trust,"Chicago, IL ORD11 - DC Energy Audit","Digital Realty Trust Chicago, IL ORD11 - DC Energy Audit",Datacom / Mission Critical / Tech
Digital Realty Trust,"Dallas, TX (DFW10) - DC Energy Audit","Digital Realty Trust Dallas, TX (DFW10) - DC Energy Audit",Datacom / Mission Critical / Tech
Digital Realty Trust,DFW10 - Energy Audit & Leakage investigation,Digital Realty Trust DFW10 - Energy Audit & Leakage investigation,Datacom / Mission Critical / Tech
Digital Realty Trust,Energy Management Master Planning,Digital Realty Trust Energy Management Master Planning,Datacom / Mission Critical / Tech
Digital Realty Trust,Energy Star Cert,Digital Realty Trust Energy Star Cert,Datacom / Mission Critical / Tech
Digital Realty Trust,EWR20 - 100 Delawanna - DC Energy Audit,Digital Realty Trust EWR20 - 100 Delawanna - DC Energy Audit,Datacom / Mission Critical / Tech
Digital Realty Trust,EWR20 -100 Delawanna - Energy Audit Implementation ,Digital Realty Trust EWR20 -100 Delawanna - Energy Audit Implementation ,Datacom / Mission Critical / Tech
Digital Realty Trust,"EWR21 - Clifton, NJ - DC Energy Audit","Digital Realty Trust EWR21 - Clifton, NJ - DC Energy Audit",Datacom / Mission Critical / Tech
Digital Realty Trust,EWR21 - 2 Peekay Drive - Energy Audit Implementation - ECM-3,Digital Realty Trust EWR21 - 2 Peekay Drive - Energy Audit Implementation - ECM-3,Datacom / Mission Critical / Tech
Digital Realty Trust,Global Energy Management Program,Digital Realty Trust Global Energy Management Program,Datacom / Mission Critical / Tech
Digital Realty Trust,JFK10 - Energy Audit - NYSERDA Flextech Program ,Digital Realty Trust JFK10 - Energy Audit - NYSERDA Flextech Program ,Datacom / Mission Critical / Tech
Digital Realty Trust,LAX10 - ECM Implementation / RCx,Digital Realty Trust LAX10 - ECM Implementation / RCx,Datacom / Mission Critical / Tech
Digital Realty Trust,LAX10 Cooling Tower Replacement,Digital Realty Trust LAX10 Cooling Tower Replacement,Datacom / Mission Critical / Tech
Digital Realty Trust,LAX10 Thermal Mapping & Energy Summary,Digital Realty Trust LAX10 Thermal Mapping & Energy Summary,Datacom / Mission Critical / Tech
Digital Realty Trust,"ORD10 - Energy Audit (leakage investigation, partial suite assessments)","Digital Realty Trust ORD10 - Energy Audit (leakage investigation, partial suite assessments)",Datacom / Mission Critical / Tech
Digital Realty Trust,ORD10 - Implementation / RCx,Digital Realty Trust ORD10 - Implementation / RCx,Datacom / Mission Critical / Tech
Digital Realty Trust,"PHX10 - Data Center Cooling Cost Study - Phoenix, AZ","Digital Realty Trust PHX10 - Data Center Cooling Cost Study - Phoenix, AZ",Datacom / Mission Critical / Tech
Digital Realty Trust,PHX10 - Implementation / RCx,Digital Realty Trust PHX10 - Implementation / RCx,Datacom / Mission Critical / Tech
Digital Realty Trust,PHX15 - Implementation / RCx (energy efficiency audit),Digital Realty Trust PHX15 - Implementation / RCx (energy efficiency audit),Datacom / Mission Critical / Tech
Digital Realty Trust,"PHX15 PUE - Owner Rep - Phoenix, AZ","Digital Realty Trust PHX15 PUE - Owner Rep - Phoenix, AZ",Datacom / Mission Critical / Tech
Digital Realty Trust,Pitscataway DC - Energy Assessment,Digital Realty Trust Pitscataway DC - Energy Assessment,Datacom / Mission Critical / Tech
Digital Realty Trust,Power Metering Designs,Digital Realty Trust Power Metering Designs,Datacom / Mission Critical / Tech
Digital Realty Trust,ATL13 - PUE Calculator - 56 Marietta,Digital Realty Trust ATL13 - PUE Calculator - 56 Marietta,Datacom / Mission Critical / Tech
Digital Realty Trust,PUE Program Mgt,Digital Realty Trust PUE Program Mgt,Datacom / Mission Critical / Tech
Digital Realty Trust,PUE Submetering - Extended Services - Bucket #1 sites,Digital Realty Trust PUE Submetering - Extended Services - Bucket #1 sites,Datacom / Mission Critical / Tech
Digital Realty Trust,PUE Submetering - Extended Services - Bucket #2 sites,Digital Realty Trust PUE Submetering - Extended Services - Bucket #2 sites,Datacom / Mission Critical / Tech
Digital Realty Trust,Santa Clara - Energy Audit,Digital Realty Trust Santa Clara - Energy Audit,Datacom / Mission Critical / Tech
Digital Realty Trust,Scope Document for PUE Metering Program,Digital Realty Trust Scope Document for PUE Metering Program,Datacom / Mission Critical / Tech
Digital Realty Trust,SFO10 - Implementation / RCx,Digital Realty Trust SFO10 - Implementation / RCx,Datacom / Mission Critical / Tech
Digital Realty Trust,Utility Incentive Program ,Digital Realty Trust Utility Incentive Program ,Datacom / Mission Critical / Tech
Digital Realty Trust,Electrical Maintenance SOW Reviews (CONUS Data Centers),Digital Realty Trust Electrical Maintenance SOW Reviews (CONUS Data Centers),Commercial / Misc Facilities
Digital Realty Trust,Energy Dashboards,Digital Realty Trust Energy Dashboards,Datacom / Mission Critical / Tech
Digital Realty Trust,PHX15 Thermal Mapping,Digital Realty Trust PHX15 Thermal Mapping,Commercial / Misc Facilities
Digital Realty Trust,Generator Testing and Operational Best Practices Study (CONUS Data Centers),Digital Realty Trust Generator Testing and Operational Best Practices Study (CONUS Data Centers),Datacom / Mission Critical / Tech
Digital Realty Trust,Qualifications Package,Digital Realty Trust Qualifications Package,Datacom / Mission Critical / Tech
Digital Realty Trust,Telx – 56 Marietta St - Energy Audit ,Digital Realty Trust Telx – 56 Marietta St - Energy Audit ,Commercial / Misc Facilities
Distech,Citi Chiller Optimization ECM Upgrade (Aux Controls),Distech Citi Chiller Optimization ECM Upgrade (Aux Controls),Commercial / Misc Facilities
Digital Realty Trust,250 Williams Expansion / ACS Building,Digital Realty Trust 250 Williams Expansion / ACS Building,Datacom / Mission Critical / Tech
Digital Realty Trust,Ashburn - Suites L118 & L218 - DR6000 & DR8000,Digital Realty Trust Ashburn - Suites L118 & L218 - DR6000 & DR8000,Datacom / Mission Critical / Tech
Digital Realty Trust,Chicago data center,Digital Realty Trust Chicago data center,Datacom / Mission Critical / Tech
Digital Realty Trust,Commissioning,Digital Realty Trust Commissioning,Datacom / Mission Critical / Tech
Digital Realty Trust,L2/L3 First Floor Suites,Digital Realty Trust L2/L3 First Floor Suites,Datacom / Mission Critical / Tech
Digital Realty Trust,Airport DC - Delta,Digital Realty Trust Airport DC - Delta,Infrastructure / Transp. / Utility Co.
Donnelly Mechanical Corp.,Brinks - LL84,Donnelly Mechanical Corp. Brinks - LL84,Commercial / Misc Facilities
Donnelly Mechanical Corp.,Brinks - LL87,Donnelly Mechanical Corp. Brinks - LL87,Commercial / Misc Facilities
Donnelly Mechanical Corp.,"LVMH LL87 – 1 East 57th Street, NYC, NY  ","Donnelly Mechanical Corp. LVMH LL87 – 1 East 57th Street, NYC, NY  ",Commercial / Misc Facilities
Donnelly Mechanical Corp.,NY Retro-Cx – HVAC Devices at Six Locations,Donnelly Mechanical Corp. NY Retro-Cx – HVAC Devices at Six Locations,Commercial / Misc Facilities
State of NJ - Division of Property Management & Construction,3rd Party M&V Services -  NJ State Prison,State of NJ - Division of Property Management & Construction 3rd Party M&V Services -  NJ State Prison,Institutional / Gov Facilities
State of NJ - Division of Property Management & Construction,Albert Wagner Youth Correctional Center,State of NJ - Division of Property Management & Construction Albert Wagner Youth Correctional Center,Institutional / Gov Facilities
