client,desc,combined,market
Verizon Wireless,Southern AZ CRAN EOS Drawings,Verizon Wireless Southern AZ CRAN EOS Drawings,Datacom / Mission Critical / Tech
Verizon Wireless,Southlake CRAC Replacement Design,Verizon Wireless Southlake CRAC Replacement Design,Datacom / Mission Critical / Tech
Verizon Wireless,Southlake Load Study,Verizon Wireless Southlake Load Study,Datacom / Mission Critical / Tech
Verizon Wireless,Southlake Telco Pop Expansion - Design,Verizon Wireless Southlake Telco Pop Expansion - Design,Datacom / Mission Critical / Tech
Verizon Wireless,"Southlake, TX Chiller Design","Verizon Wireless Southlake, TX Chiller Design",Datacom / Mission Critical / Tech
Verizon Wireless,Southwest Markets A&E,Verizon Wireless Southwest Markets A&E,Datacom / Mission Critical / Tech
Verizon Wireless,SOVA Large Hub Audits Audit ,Verizon Wireless SOVA Large Hub Audits Audit ,Datacom / Mission Critical / Tech
Verizon Wireless,Springfield BAS & MSI Design,Verizon Wireless Springfield BAS & MSI Design,Datacom / Mission Critical / Tech
Verizon Wireless,"St. Clairsville, OH MSC - Mobile Asset Parking","Verizon Wireless St. Clairsville, OH MSC - Mobile Asset Parking",Datacom / Mission Critical / Tech
Verizon Wireless,St. Louis 1 MSC HVAC System Review,Verizon Wireless St. Louis 1 MSC HVAC System Review,Datacom / Mission Critical / Tech
Verizon Wireless,St. Louis 2 MSC Driveway & Parking Lot Upgrade - Design,Verizon Wireless St. Louis 2 MSC Driveway & Parking Lot Upgrade - Design,Datacom / Mission Critical / Tech
Verizon Wireless,"St. Louis, MO - Design","Verizon Wireless St. Louis, MO - Design",Datacom / Mission Critical / Tech
Verizon Wireless,Syracuse SAP Upgrade Design,Verizon Wireless Syracuse SAP Upgrade Design,Datacom / Mission Critical / Tech
Verizon Wireless,Tacoma ATS / Integration & BAS GUI Overlay,Verizon Wireless Tacoma ATS / Integration & BAS GUI Overlay,Datacom / Mission Critical / Tech
Verizon Wireless,Tacoma Fire Suppression Upgrade,Verizon Wireless Tacoma Fire Suppression Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,Tacoma Gate Card Reader ,Verizon Wireless Tacoma Gate Card Reader ,Datacom / Mission Critical / Tech
Verizon Wireless,Taunton AC Upgrade,Verizon Wireless Taunton AC Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,Tempe BAS Upgrade - MSI,Verizon Wireless Tempe BAS Upgrade - MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Tempe HVAC Augmentation - MSI,Verizon Wireless Tempe HVAC Augmentation - MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Tempe Utility Feasibility Study,Verizon Wireless Tempe Utility Feasibility Study,Datacom / Mission Critical / Tech
Verizon Wireless,Thermal Mapping Solution - 2019,Verizon Wireless Thermal Mapping Solution - 2019,Datacom / Mission Critical / Tech
Verizon Wireless,Tucson Audit,Verizon Wireless Tucson Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Tulsa BAS Baseline,Verizon Wireless Tulsa BAS Baseline,Datacom / Mission Critical / Tech
Verizon Wireless,Tulsa BAS Baseline Audit,Verizon Wireless Tulsa BAS Baseline Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Tulsa HVAC Design Services,Verizon Wireless Tulsa HVAC Design Services,Datacom / Mission Critical / Tech
Verizon Wireless,"Tulsa, OK - NDIR 386 Audit Design","Verizon Wireless Tulsa, OK - NDIR 386 Audit Design",Datacom / Mission Critical / Tech
Verizon Wireless,Tustin BMS Genset Fuel Mgmt,Verizon Wireless Tustin BMS Genset Fuel Mgmt,Datacom / Mission Critical / Tech
Verizon Wireless,UPS Standards Development - HQ,Verizon Wireless UPS Standards Development - HQ,Datacom / Mission Critical / Tech
Verizon Wireless,Verizon CFD Research - EOS Project,Verizon Wireless Verizon CFD Research - EOS Project,Datacom / Mission Critical / Tech
Verizon Wireless,Verizon Standard Template Update,Verizon Wireless Verizon Standard Template Update,Datacom / Mission Critical / Tech
Verizon Wireless,Victorian Village CRAN,Verizon Wireless Victorian Village CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Vista MSC Chiller #4,Verizon Wireless Vista MSC Chiller #4,Datacom / Mission Critical / Tech
Verizon Wireless,"Vista, CA MSI","Verizon Wireless Vista, CA MSI",Datacom / Mission Critical / Tech
Verizon Wireless,VZW Temperature Increase / Energy Study Wayne,Verizon Wireless VZW Temperature Increase / Energy Study Wayne,Datacom / Mission Critical / Tech
Verizon Wireless,Wabash Chicago Medium Hub A&E service CRAN,Verizon Wireless Wabash Chicago Medium Hub A&E service CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,"Wall, NJ Audit","Verizon Wireless Wall, NJ Audit",Datacom / Mission Critical / Tech
Verizon Wireless,Wallingford BAS,Verizon Wireless Wallingford BAS,Datacom / Mission Critical / Tech
Verizon Wireless,Wallingford Battery Room Roof Design,Verizon Wireless Wallingford Battery Room Roof Design,Datacom / Mission Critical / Tech
Verizon Wireless,Wallingford CT MSC CRAC Upgrade,Verizon Wireless Wallingford CT MSC CRAC Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,"Warren, NJ - Diesel Fuel Storage Procedures","Verizon Wireless Warren, NJ - Diesel Fuel Storage Procedures",Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan BAS Design,Verizon Wireless West Jordan BAS Design,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan BAS System Upgrade ,Verizon Wireless West Jordan BAS System Upgrade ,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan CO Geotech CA & Special Inspection Services,Verizon Wireless West Jordan CO Geotech CA & Special Inspection Services,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan COW / COLT,Verizon Wireless West Jordan COW / COLT,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan DC Power Plant Upgrade,Verizon Wireless West Jordan DC Power Plant Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan MSC 7400A CxA,Verizon Wireless West Jordan MSC 7400A CxA,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan MSC AC Work,Verizon Wireless West Jordan MSC AC Work,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan MSC HORSE Design/Install/Com,Verizon Wireless West Jordan MSC HORSE Design/Install/Com,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan MSC MSI for 7400A Upgrade,Verizon Wireless West Jordan MSC MSI for 7400A Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan MSC PH.2 Expansion A/E,Verizon Wireless West Jordan MSC PH.2 Expansion A/E,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan MSI ,Verizon Wireless West Jordan MSI ,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan MSI 7400A - COR01 GOAT Monitoring,Verizon Wireless West Jordan MSI 7400A - COR01 GOAT Monitoring,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan MSI Invitation,Verizon Wireless West Jordan MSI Invitation,Datacom / Mission Critical / Tech
Verizon Wireless,West Jordan SWRM 2 Design,Verizon Wireless West Jordan SWRM 2 Design,Datacom / Mission Critical / Tech
Verizon Wireless,"West Jordan, UT - MSC Expansion Concept Creation ","Verizon Wireless West Jordan, UT - MSC Expansion Concept Creation ",Datacom / Mission Critical / Tech
Verizon Wireless,West Phoenix CRAN  A/E Services 10-18 SITES,Verizon Wireless West Phoenix CRAN  A/E Services 10-18 SITES,Datacom / Mission Critical / Tech
Verizon Wireless,West Phoenix CRAN  A/E Services 9 SITES,Verizon Wireless West Phoenix CRAN  A/E Services 9 SITES,Datacom / Mission Critical / Tech
Verizon Wireless,West Phoenix CRAN Design Hub,Verizon Wireless West Phoenix CRAN Design Hub,Datacom / Mission Critical / Tech
Verizon Wireless,West Roxbury - ATS Conversion & Misc elec,Verizon Wireless West Roxbury - ATS Conversion & Misc elec,Datacom / Mission Critical / Tech
Verizon Wireless,West Roxbury Drainage Investigation ,Verizon Wireless West Roxbury Drainage Investigation ,Datacom / Mission Critical / Tech
Verizon Wireless,West Roxbury Exterior Generator Design ,Verizon Wireless West Roxbury Exterior Generator Design ,Datacom / Mission Critical / Tech
Verizon Wireless,West Roxbury HVAC Optimization Cx,Verizon Wireless West Roxbury HVAC Optimization Cx,Datacom / Mission Critical / Tech
Verizon Wireless,West Roxbury Mechanical Design Replace,Verizon Wireless West Roxbury Mechanical Design Replace,Datacom / Mission Critical / Tech
Verizon Wireless,West Roxbury Power Operations Plan - CO,Verizon Wireless West Roxbury Power Operations Plan - CO,Datacom / Mission Critical / Tech
Verizon Wireless,West Roxbury Switchgear Design ,Verizon Wireless West Roxbury Switchgear Design ,Datacom / Mission Critical / Tech
Verizon Wireless,Westborough BAS GUI,Verizon Wireless Westborough BAS GUI,Datacom / Mission Critical / Tech
Verizon Wireless,Westborough III - Commissioning Services,Verizon Wireless Westborough III - Commissioning Services,Datacom / Mission Critical / Tech
Verizon Wireless,Westborough Master Plan,Verizon Wireless Westborough Master Plan,Datacom / Mission Critical / Tech
Verizon Wireless,Westborough MSI,Verizon Wireless Westborough MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Westborough MTSO - Expansion and Modification Existing BAS,Verizon Wireless Westborough MTSO - Expansion and Modification Existing BAS,Datacom / Mission Critical / Tech
Verizon Wireless,Westminster CO MSC NDIR386,Verizon Wireless Westminster CO MSC NDIR386,Datacom / Mission Critical / Tech
Verizon Wireless,Westside CO for CA Phase,Verizon Wireless Westside CO for CA Phase,Datacom / Mission Critical / Tech
Verizon Wireless,Westside MSC Inverter Upgrade,Verizon Wireless Westside MSC Inverter Upgrade,Datacom / Mission Critical / Tech
Verizon Wireless,Whitestone MSC,Verizon Wireless Whitestone MSC,Datacom / Mission Critical / Tech
Verizon Wireless,Wilmington Master Plan,Verizon Wireless Wilmington Master Plan,Datacom / Mission Critical / Tech
Verizon Wireless,Wilmington MSI,Verizon Wireless Wilmington MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Wilmington MSI,Verizon Wireless Wilmington MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor Audit,Verizon Wireless Windsor Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor BAS Audit,Verizon Wireless Windsor BAS Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor Bridge SAP Redesign - COs,Verizon Wireless Windsor Bridge SAP Redesign - COs,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor Chiller Replacement Design,Verizon Wireless Windsor Chiller Replacement Design,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor CO - BAS Gut and Replace,Verizon Wireless Windsor CO - BAS Gut and Replace,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor CO - COW/COLT Parking Design,Verizon Wireless Windsor CO - COW/COLT Parking Design,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor CO - Land Survey,Verizon Wireless Windsor CO - Land Survey,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor FP Audit,Verizon Wireless Windsor FP Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor Master Plan,Verizon Wireless Windsor Master Plan,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor MSI,Verizon Wireless Windsor MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor Plan C Design,Verizon Wireless Windsor Plan C Design,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor SAP Redesign - DC,Verizon Wireless Windsor SAP Redesign - DC,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor Structural - C-Clamp and Snow Drift,Verizon Wireless Windsor Structural - C-Clamp and Snow Drift,Datacom / Mission Critical / Tech
Verizon Wireless,Wisconsin CRAN New Build A&E Services,Verizon Wireless Wisconsin CRAN New Build A&E Services,Datacom / Mission Critical / Tech
Verizon Wireless,Wisconsin New Build A&E Service Batch 3 CRAN,Verizon Wireless Wisconsin New Build A&E Service Batch 3 CRAN,Datacom / Mission Critical / Tech
Verizon Wireless,Woodlawn HVAC Replacements,Verizon Wireless Woodlawn HVAC Replacements,Datacom / Mission Critical / Tech
Verizon Wireless,Woodlawn MSI,Verizon Wireless Woodlawn MSI,Datacom / Mission Critical / Tech
Verizon Wireless,Yonkers SAP Upgrade Concept Design,Verizon Wireless Yonkers SAP Upgrade Concept Design,Datacom / Mission Critical / Tech
Verizon Wireless,"Town of Breckenridge, CO - CRAN","Verizon Wireless Town of Breckenridge, CO - CRAN",Datacom / Mission Critical / Tech
WAC,Alliance P4 Renovations,WAC Alliance P4 Renovations,Cultural / Recreation / Sport
Wakefield Beasley and Associates,CTC - Building 100 / 200 Office Fit Out,Wakefield Beasley and Associates CTC - Building 100 / 200 Office Fit Out,Education
Township of Wayne,SCADA,Township of Wayne SCADA,Institutional / Gov Facilities
Township of Wayne,Remote Site Infrastructure Integration,Township of Wayne Remote Site Infrastructure Integration,Institutional / Gov Facilities
Township of Wayne,SCADA System Needs Assessment,Township of Wayne SCADA System Needs Assessment,Institutional / Gov Facilities
Wellstar - Jim Lade,TBD,Wellstar - Jim Lade TBD,Healthcare
Winstead,Waypoint opp (PCM) ,Winstead Waypoint opp (PCM) ,Datacom / Mission Critical / Tech
WIPRO LLC,Atlanta Site Assessment,WIPRO LLC Atlanta Site Assessment,Datacom / Mission Critical / Tech
WIPRO LLC,HVAC rebalance,WIPRO LLC HVAC rebalance,Commercial / Misc Facilities
Woodruff Arts Center,Alliance Theater Transformation,Woodruff Arts Center Alliance Theater Transformation,Cultural / Recreation / Sport
Woodruff Arts Center,MAB Theatre Renovations,Woodruff Arts Center MAB Theatre Renovations,Cultural / Recreation / Sport
XSite Modular,"Cable Landing Station – Newfoundland, Canada","XSite Modular Cable Landing Station – Newfoundland, Canada",Datacom / Mission Critical / Tech
XSite Modular,"Cable Landing Station – Oahu, Hawaii","XSite Modular Cable Landing Station – Oahu, Hawaii",Datacom / Mission Critical / Tech
XSite Modular,Cable Landing Station DC - Gov of Granada,XSite Modular Cable Landing Station DC - Gov of Granada,Datacom / Mission Critical / Tech
XSite Modular,Modular - Brazeal - Cable Landing Station,XSite Modular Modular - Brazeal - Cable Landing Station,Datacom / Mission Critical / Tech
XSite Modular,Peer Review Services,XSite Modular Peer Review Services,Commercial / Misc Facilities
XSite Modular,Prototype onetime services for Cx,XSite Modular Prototype onetime services for Cx,Datacom / Mission Critical / Tech
zColo,1100 White Street Expansion,zColo 1100 White Street Expansion,Datacom / Mission Critical / Tech
zColo,1200 White St. - Commissioning,zColo 1200 White St. - Commissioning,Datacom / Mission Critical / Tech
zColo,Atlanta 1100 White Street Site Assessment,zColo Atlanta 1100 White Street Site Assessment,Datacom / Mission Critical / Tech
zColo,Greenfield Data Center Design,zColo Greenfield Data Center Design,Datacom / Mission Critical / Tech
zColo,zColo - Miami,zColo zColo - Miami,Datacom / Mission Critical / Tech
XSite Modular,PLCN - Multiple Sites - FAT and SAT Cx,XSite Modular PLCN - Multiple Sites - FAT and SAT Cx,Datacom / Mission Critical / Tech
Verizon Wireless,Bridgeville #2 Telco Room HVAC A&E Design,Verizon Wireless Bridgeville #2 Telco Room HVAC A&E Design,Datacom / Mission Critical / Tech
"Citigroup, Inc.",Retail MEPFP On Call Engineers,"Citigroup, Inc. Retail MEPFP On Call Engineers",Commercial / Misc Facilities
Epsten Group,GT Campus Center Renovations Cx Support,Epsten Group GT Campus Center Renovations Cx Support,Education
SABEY,Intergate Ashburn Phase II Fitout Cx Services,SABEY Intergate Ashburn Phase II Fitout Cx Services,Datacom / Mission Critical / Tech
Allison Smith Co,Allison-Smith Protovision,Allison Smith Co Allison-Smith Protovision,Datacom / Mission Critical / Tech
Quality Technology Services,Chiller Shortfall Pre-Design and Evaluation,Quality Technology Services Chiller Shortfall Pre-Design and Evaluation,Datacom / Mission Critical / Tech
Verizon Wireless,Utility Invoice Payment and Management,Verizon Wireless Utility Invoice Payment and Management,Datacom / Mission Critical / Tech
Verizon Wireless,Shockoe Expansion,Verizon Wireless Shockoe Expansion,Datacom / Mission Critical / Tech
"Citigroup, Inc.","New Castle, Delaware OPS Chilled Water Replacement","Citigroup, Inc. New Castle, Delaware OPS Chilled Water Replacement",Commercial / Misc Facilities
"Facebook, Inc.",EAG Salt Lake Cx,"Facebook, Inc. EAG Salt Lake Cx",Datacom / Mission Critical / Tech
"Google, Inc.",Project Kale,"Google, Inc. Project Kale",Commercial / Misc Facilities
Equinix,Equinix  DLB Project 1 ,Equinix Equinix  DLB Project 1 ,Datacom / Mission Critical / Tech
Equinix,Equinix DLB Project 2,Equinix Equinix DLB Project 2,Datacom / Mission Critical / Tech
Tierpoint,Energy Audits,Tierpoint Energy Audits,Datacom / Mission Critical / Tech
Verizon Wireless,Bloomington A&E - Inverter Move & Exterior Wall,Verizon Wireless Bloomington A&E - Inverter Move & Exterior Wall,Datacom / Mission Critical / Tech
"Citigroup, Inc.","Building Envelope Upgrades - Design & Bid Services - San Antonio, TX","Citigroup, Inc. Building Envelope Upgrades - Design & Bid Services - San Antonio, TX",Commercial / Misc Facilities
Digital Realty Trust,West Coast ,Digital Realty Trust West Coast ,Commercial / Misc Facilities
"Citigroup, Inc.","Air Management Analysis 3rd Floor IT Room - Elk Grove, IL","Citigroup, Inc. Air Management Analysis 3rd Floor IT Room - Elk Grove, IL",Commercial / Misc Facilities
"Citigroup, Inc.","Add Drycooler 3rd Floor DataAire Units (Design and CA) - Elk Grove, IL","Citigroup, Inc. Add Drycooler 3rd Floor DataAire Units (Design and CA) - Elk Grove, IL",Commercial / Misc Facilities
"Citigroup, Inc.","Minimate Issue - Schematic Design (SD) - Elk Grove, IL","Citigroup, Inc. Minimate Issue - Schematic Design (SD) - Elk Grove, IL",Commercial / Misc Facilities
Verizon Wireless,West Roxbury NDIR385 Audit,Verizon Wireless West Roxbury NDIR385 Audit,Datacom / Mission Critical / Tech
Verizon Wireless,Talmadge - CRAN HUB Utility,Verizon Wireless Talmadge - CRAN HUB Utility,Datacom / Mission Critical / Tech
Mountain Wireless,VZW Mountain West - CO Broncos Mechanical Design,Mountain Wireless VZW Mountain West - CO Broncos Mechanical Design,Datacom / Mission Critical / Tech
Verizon Wireless,UW Madison Hub A&E (CRAN),Verizon Wireless UW Madison Hub A&E (CRAN),Datacom / Mission Critical / Tech
"Citigroup, Inc.",Breaker Maintenance MOP - Elk Grove. IL,"Citigroup, Inc. Breaker Maintenance MOP - Elk Grove. IL",Commercial / Misc Facilities
Digital Realty Trust,BOS14 PUE - Owners Rep,Digital Realty Trust BOS14 PUE - Owners Rep,Datacom / Mission Critical / Tech
Verizon Wireless,Foxboro 3 MA & Tewksbury MA CRAN A&E,Verizon Wireless Foxboro 3 MA & Tewksbury MA CRAN A&E,Datacom / Mission Critical / Tech
Enterprise Controls Group,Controls Opportunity,Enterprise Controls Group Controls Opportunity,Datacom / Mission Critical / Tech
TRS Atlanta,MeSun Skilled Nursing & Rehab Center - Controls Integration,TRS Atlanta MeSun Skilled Nursing & Rehab Center - Controls Integration,Healthcare
Colo D,St Bruno Campus,Colo D St Bruno Campus,Datacom / Mission Critical / Tech
Verizon Wireless,Rochester BAS and MSI Services,Verizon Wireless Rochester BAS and MSI Services,Datacom / Mission Critical / Tech
NBBJ,Citi Rutherford 2nd Floor LEED Cx,NBBJ Citi Rutherford 2nd Floor LEED Cx,Commercial / Misc Facilities
Digital Realty Trust,PUE Submetering - OAK10 Design Services,Digital Realty Trust PUE Submetering - OAK10 Design Services,Datacom / Mission Critical / Tech
Verizon Wireless,Windsor Plan C MSI Services,Verizon Wireless Windsor Plan C MSI Services,Datacom / Mission Critical / Tech
"Facebook, Inc.",Master Global Test Scripts - Equipment Settings Standardization (ESS),"Facebook, Inc. Master Global Test Scripts - Equipment Settings Standardization (ESS)",Datacom / Mission Critical / Tech
Digital Realty Trust,IAD30 PUE - PM & Owners Rep,Digital Realty Trust IAD30 PUE - PM & Owners Rep,Datacom / Mission Critical / Tech
Digital Realty Trust,OAK10 PUE Additional Design Services T&M,Digital Realty Trust OAK10 PUE Additional Design Services T&M,Datacom / Mission Critical / Tech
Digital Realty Trust,LAX12 PUE - PM & Owners Rep,Digital Realty Trust LAX12 PUE - PM & Owners Rep,Datacom / Mission Critical / Tech
Logan Pass Construction,VZW Aurora Plenum Rebuild,Logan Pass Construction VZW Aurora Plenum Rebuild,Datacom / Mission Critical / Tech
Digital Realty Trust,PUE Submetering - Bucket 2 - Amendment 2,Digital Realty Trust PUE Submetering - Bucket 2 - Amendment 2,Datacom / Mission Critical / Tech
Digital Realty Trust,DFW10 - Energy Audit Implementation,Digital Realty Trust DFW10 - Energy Audit Implementation,Datacom / Mission Critical / Tech
Stromquist ,Distech ,Stromquist  Distech ,Industrial / Controls / Energy
Verizon Wireless,Yonkers MSC ,Verizon Wireless Yonkers MSC ,Datacom / Mission Critical / Tech
IEC Systems,MSI Opportunity / Partner,IEC Systems MSI Opportunity / Partner,Datacom / Mission Critical / Tech
Quality Technology Services,FTW Phase 1 & 2 Cx,Quality Technology Services FTW Phase 1 & 2 Cx,Datacom / Mission Critical / Tech
Verizon Wireless,New England East Switches - NDIR385,Verizon Wireless New England East Switches - NDIR385,Datacom / Mission Critical / Tech
VTS,Nontraditional Services,VTS Nontraditional Services,Commercial / Misc Facilities
"Citigroup, Inc.",BAS Remote Access and SMS Text Notifications,"Citigroup, Inc. BAS Remote Access and SMS Text Notifications",Commercial / Misc Facilities
Verizon Wireless,Westland NDIR385 Study,Verizon Wireless Westland NDIR385 Study,Datacom / Mission Critical / Tech
QTS,FTW PHASE 1 & 2 Cx,QTS FTW PHASE 1 & 2 Cx,Datacom / Mission Critical / Tech
Quality Technology Services,FTW PHASE 1 & 2 Cx,Quality Technology Services FTW PHASE 1 & 2 Cx,Datacom / Mission Critical / Tech
Verizon Wireless,Test,Verizon Wireless Test,Commercial / Misc Facilities
Verizon Wireless,test,Verizon Wireless test,Commercial / Misc Facilities
Little Silver School District,test,Little Silver School District test,Commercial / Misc Facilities
Verizon Wireless,East Syracuse NDIR385 Eng Services,Verizon Wireless East Syracuse NDIR385 Eng Services,Datacom / Mission Critical / Tech
Digital Ocean,LON1 Electrical Audit,Digital Ocean LON1 Electrical Audit,Datacom / Mission Critical / Tech
Technical Engineering Trading Inc,Chiller Optimization,Technical Engineering Trading Inc Chiller Optimization,Commercial / Misc Facilities
Distech Controls Energy Services Inc.,Miami - Chiller Optimization,Distech Controls Energy Services Inc. Miami - Chiller Optimization,Commercial / Misc Facilities
"Citigroup, Inc.",BAS Remote Access and SMS Text Notifications,"Citigroup, Inc. BAS Remote Access and SMS Text Notifications",Commercial / Misc Facilities
"Citigroup, Inc.","SWDC (Roanoke, TX) - UPS Replacement and Infrastructure Expansion - Due Diligence and SD","Citigroup, Inc. SWDC (Roanoke, TX) - UPS Replacement and Infrastructure Expansion - Due Diligence and SD",Commercial / Misc Facilities
Verizon Wireless,New England East Switches NDIR385,Verizon Wireless New England East Switches NDIR385,Datacom / Mission Critical / Tech
Verizon Wireless,Westland NDIR385 Study,Verizon Wireless Westland NDIR385 Study,Datacom / Mission Critical / Tech
Verizon Wireless,Fort Wright CRAN Medium Hub Design,Verizon Wireless Fort Wright CRAN Medium Hub Design,Datacom / Mission Critical / Tech
Crown Castle,Small Cell Deployment (Foresite Group),Crown Castle Small Cell Deployment (Foresite Group),Commercial / Misc Facilities
Internap,Secaucus Cx Services - New Electrical Gear,Internap Secaucus Cx Services - New Electrical Gear,Datacom / Mission Critical / Tech
NBCUniversal,Englewood Cliffs - Heat Exchanger Mod Feasibility Study,NBCUniversal Englewood Cliffs - Heat Exchanger Mod Feasibility Study,Commercial / Misc Facilities
Verizon Wireless,Test,Verizon Wireless Test,Commercial / Misc Facilities
Verizon Wireless,Yonkers NDIR385 Cold Aisle Design,Verizon Wireless Yonkers NDIR385 Cold Aisle Design,Datacom / Mission Critical / Tech
Verizon Wireless,Yonkers Plant 2 - 10k Expansion Design,Verizon Wireless Yonkers Plant 2 - 10k Expansion Design,Datacom / Mission Critical / Tech
AWS   ,PDX063,AWS    PDX063,Datacom / Mission Critical / Tech
Verizon Wireless,Mililani Corroded Fuel Line - Permitting,Verizon Wireless Mililani Corroded Fuel Line - Permitting,Datacom / Mission Critical / Tech
"Foresite Group, Inc",Breckinridge Small Cell Buildout,"Foresite Group, Inc Breckinridge Small Cell Buildout",Datacom / Mission Critical / Tech
STG Design  ,Jack Tisdale,STG Design   Jack Tisdale,Commercial / Misc Facilities
Digital Realty Trust,IAD30 - PUE Submetering Design ,Digital Realty Trust IAD30 - PUE Submetering Design ,Datacom / Mission Critical / Tech
MGroup Architects,"DLR - Digital - Brickyard Manassas Building 3, VA","MGroup Architects DLR - Digital - Brickyard Manassas Building 3, VA",Datacom / Mission Critical / Tech
"I.C. Thomasson Associates, Inc.",Controls Opportunities / Distech,"I.C. Thomasson Associates, Inc. Controls Opportunities / Distech",Datacom / Mission Critical / Tech
Compass Datacenters,"CMH II - Columbus, OH Cx","Compass Datacenters CMH II - Columbus, OH Cx",Datacom / Mission Critical / Tech
Verizon Wireless,WBV MSC NDIR385 Audit Services,Verizon Wireless WBV MSC NDIR385 Audit Services,Datacom / Mission Critical / Tech
"Citigroup, Inc.",San Antonio Fire Protection Evaluation - BAS,"Citigroup, Inc. San Antonio Fire Protection Evaluation - BAS",Commercial / Misc Facilities
Verizon Wireless,West Jordan Thermal Mapping,Verizon Wireless West Jordan Thermal Mapping,Datacom / Mission Critical / Tech
Verizon Wireless,Wallingford NDIR385 Audit,Verizon Wireless Wallingford NDIR385 Audit,Datacom / Mission Critical / Tech
Verizon Wireless,VZW Copperfield BMS Expansion,Verizon Wireless VZW Copperfield BMS Expansion,Datacom / Mission Critical / Tech
Verizon Wireless,VZW Copperfield BMS Hardening,Verizon Wireless VZW Copperfield BMS Hardening,Datacom / Mission Critical / Tech
IEC Systems,Fort Benning,IEC Systems Fort Benning,Commercial / Misc Facilities
Verizon Wireless,Dallas Data Center RFP ,Verizon Wireless Dallas Data Center RFP ,Commercial / Misc Facilities
Warner Summers  ,Atlanta Local Projects,Warner Summers   Atlanta Local Projects,Commercial / Misc Facilities
"Citigroup, Inc.",San Antonio - B3 Battery Integration to BAS,"Citigroup, Inc. San Antonio - B3 Battery Integration to BAS",Commercial / Misc Facilities
Quest Controls,VZW Southlake MSI,Quest Controls VZW Southlake MSI,Datacom / Mission Critical / Tech
Digital Realty Trust,"PHX15 - Chandler, AZ - Chiller Design","Digital Realty Trust PHX15 - Chandler, AZ - Chiller Design",Datacom / Mission Critical / Tech
Verizon Wireless,Bridgeville #2 Additional Power and Cooling A&E,Verizon Wireless Bridgeville #2 Additional Power and Cooling A&E,Datacom / Mission Critical / Tech
Quality Technology Services,FTW Phase 1 and Phase 2 - Project Lonestar Cx,Quality Technology Services FTW Phase 1 and Phase 2 - Project Lonestar Cx,Datacom / Mission Critical / Tech
Verizon Wireless,"Lenexa, WJ, Tulsa NDIR385 Design","Verizon Wireless Lenexa, WJ, Tulsa NDIR385 Design",Datacom / Mission Critical / Tech
Verizon Wireless,Hillsboro Cabinet Intake Monitoring Systems - Thermal Mapping,Verizon Wireless Hillsboro Cabinet Intake Monitoring Systems - Thermal Mapping,Datacom / Mission Critical / Tech
Verizon Wireless,Branchburg Lighting,Verizon Wireless Branchburg Lighting,Datacom / Mission Critical / Tech
Verizon Wireless,DFW Chiller RCx & EHOP,Verizon Wireless DFW Chiller RCx & EHOP,Datacom / Mission Critical / Tech
"Citigroup, Inc.","BAS Point to Point Checkout - San Antonio, TX","Citigroup, Inc. BAS Point to Point Checkout - San Antonio, TX",Commercial / Misc Facilities
Verizon Wireless,Ingleside CRAN Small HUB - A&E Services,Verizon Wireless Ingleside CRAN Small HUB - A&E Services,Datacom / Mission Critical / Tech
